place_id,review_type,1st_topic,2nd_topic,3rd_topic,name,region
ChIJAY6GOt66rhIRcp6KQWg0Kk4,negatif,examen et consultation,attente,mauvaise expérience,hôpital des enfants,Occitanie
ChIJAY6GOt66rhIRcp6KQWg0Kk4,positif,personnel agréable et à l'écoute,prise en charge d'urgence 2,professionnalisme,hôpital des enfants,Occitanie
ChIJAZidw-gNrBIREuIr3G3Iexg,negatif,attente,examen et consultation,mauvaise expérience,centre hospitalier de montauban,Occitanie
ChIJAZidw-gNrBIREuIr3G3Iexg,positif,personnel agréable et à l'écoute,prise en charge d'urgence 2,professionnalisme,centre hospitalier de montauban,Occitanie
ChIJAbSqddbQFkgROIpU92Bc2Sk,positif,prise en charge d'urgence 2,examen et consultation,locaux et accès,centre hospitalier michel mazéas service des urgences,Bretagne
ChIJAd3fZYgeEEgRMnxv37f-k40,negatif,attente,examen et consultation,mauvaise expérience,centre hospitalier bretagne atlantique,Bretagne
ChIJAd3fZYgeEEgRMnxv37f-k40,positif,personnel agréable et à l'écoute,prise en charge d'urgence 2,professionnalisme,centre hospitalier bretagne atlantique,Bretagne
ChIJB0N9xu19shIRn8AZ3I00aSY,negatif,attente,examen et consultation,mauvaise expérience,hôpital jacques puel - bourran,Occitanie
ChIJB0N9xu19shIRn8AZ3I00aSY,positif,personnel agréable et à l'écoute,prise en charge d'urgence 2,professionnalisme,hôpital jacques puel - bourran,Occitanie
ChIJB3vyWHPYVA0RuGy3KR6W2CU,negatif,attente,mauvaise expérience,personnel désagréable,usn - groupe hospitalier pellegrin - chu de bordeaux,Nouvelle-Aquitaine
ChIJB3vyWHPYVA0RuGy3KR6W2CU,positif,prise en charge d'urgence 1,maternité,professionnalisme,usn - groupe hospitalier pellegrin - chu de bordeaux,Nouvelle-Aquitaine
ChIJB4yijdjXEUgRPBjEj3DwKR8,positif,prise en charge d'urgence 1,prise en charge d'urgence 2,personnel désagréable,ehpad la rose des sables - centre hospitalier du centre-bretagne (chcb),Bretagne
ChIJB7z6LSO8FkgRyR9ApN1nqPA,positif,personnel agréable et à l'écoute,attente,locaux et accès,aub santé – centre de dialyse brest questel – consultation néphrologue brest questel,Bretagne
ChIJBSyjHHPYVA0RaZwJwBd9giI,negatif,attente,examen et consultation,personnel désagréable,hôpital pellegrin bordeaux,Nouvelle-Aquitaine
ChIJBSyjHHPYVA0RaZwJwBd9giI,positif,personnel agréable et à l'écoute,prise en charge d'urgence 2,professionnalisme,hôpital pellegrin bordeaux,Nouvelle-Aquitaine
ChIJBY15UHHSrxIRW9K8_JAk5gE,negatif,mauvaise expérience,personnel désagréable,prise en charge d'urgence 1,centre hospitalier de limoux-quillan,Occitanie
ChIJBY15UHHSrxIRW9K8_JAk5gE,positif,prise en charge d'urgence 2,locaux et accès,prise en charge d'urgence 1,centre hospitalier de limoux-quillan,Occitanie
ChIJB_opNAqmVg0RLH2vuotoVOY,negatif,attente,prise en charge d'urgence 1,mauvaise expérience,centre hospitalier de dax - côte d'argent,Nouvelle-Aquitaine
ChIJB_opNAqmVg0RLH2vuotoVOY,positif,personnel agréable et à l'écoute,prise en charge d'urgence 2,professionnalisme,centre hospitalier de dax - côte d'argent,Nouvelle-Aquitaine
ChIJBdVbYQAtrhIRdgkRJsw4_es,negatif,mauvaise expérience,attente,personnel désagréable,trésorerie de centre hospitalier,Occitanie
ChIJBdVbYQAtrhIRdgkRJsw4_es,positif,mauvaise expérience,attente,examen et consultation,trésorerie de centre hospitalier,Occitanie
ChIJC0X9rmOB2RIRgF3uuaWVjLQ,negatif,attente,examen et consultation,personnel désagréable,clinique de l'ospedale,Corse
ChIJC0X9rmOB2RIRgF3uuaWVjLQ,positif,prise en charge d'urgence 2,personnel agréable et à l'écoute,professionnalisme,clinique de l'ospedale,Corse
ChIJC3Y9kUnuEEgRH1ULC4h8CHo,negatif,examen et consultation,attente,mauvaise expérience,hôpital de la villeneuve - groupe hospitalier bretagne sud - quimperlé,Bretagne
ChIJC3Y9kUnuEEgRH1ULC4h8CHo,positif,personnel agréable et à l'écoute,prise en charge d'urgence 2,attente,hôpital de la villeneuve - groupe hospitalier bretagne sud - quimperlé,Bretagne
ChIJCT4DMTZQDkgRWfAzPb0ckCg,negatif,attente,mauvaise expérience,personnel désagréable,centre hospitalier du docteur de tersannes,Bretagne
ChIJCX79VZxarhIRxNlfUsoWac0,negatif,attente,personnel agréable et à l'écoute,maternité,centre hospitalier jean pierre cassabel - service imagerie,Occitanie
ChIJCX79VZxarhIRxNlfUsoWac0,positif,personnel agréable et à l'écoute,examen et consultation,mauvaise expérience,centre hospitalier jean pierre cassabel - service imagerie,Occitanie
ChIJC_Hsgtd0DEgRqgr5sKFc-54,negatif,examen et consultation,attente,prise en charge d'urgence 2,centre hospitalier de coutances,Normandie
ChIJC_Hsgtd0DEgRqgr5sKFc-54,positif,prise en charge d'urgence 2,professionnalisme,personnel agréable et à l'écoute,centre hospitalier de coutances,Normandie
ChIJCcGnT5JfEEgRNVXCUou17R8,negatif,professionnalisme,mauvaise expérience,maternité,centre de gérontologie clinique de kerbernès - groupe hospitalier bretagne sud - ploemeur,Bretagne
ChIJCcGnT5JfEEgRNVXCUou17R8,positif,professionnalisme,personnel agréable et à l'écoute,locaux et accès,centre de gérontologie clinique de kerbernès - groupe hospitalier bretagne sud - ploemeur,Bretagne
ChIJCcosywgdDkgRofm1NZBH3-U,negatif,attente,examen et consultation,prise en charge d'urgence 2,samu 22,Bretagne
ChIJD-DD5AjeDkgRApNNWHxg5Ms,negatif,attente,prise en charge d'urgence 2,mauvaise expérience,urgences - centre hospitalier privé saint-grégoire,Bretagne
ChIJD0vY91heEEgROhtUBk8jvho,negatif,mauvaise expérience,personnel désagréable,attente,efs – maison du don –lorient,Bretagne
ChIJD0vY91heEEgROhtUBk8jvho,positif,personnel agréable et à l'écoute,examen et consultation,personnel désagréable,efs – maison du don –lorient,Bretagne
ChIJD1Qz8AUdDkgRPLgNqcpAjo4,negatif,prise en charge d'urgence 2,personnel agréable et à l'écoute,examen et consultation,"centre hospitalier de saint brieuc, service des urgences",Bretagne
ChIJD30SjwAtrhIRiY-jkJI0liE,negatif,attente,mauvaise expérience,examen et consultation,centre hospitalier de carcassonne,Occitanie
ChIJD30SjwAtrhIRiY-jkJI0liE,positif,personnel agréable et à l'écoute,prise en charge d'urgence 2,professionnalisme,centre hospitalier de carcassonne,Occitanie
ChIJD3k6uXTYVA0RJgEBU7ftZ3c,negatif,examen et consultation,attente,prise en charge d'urgence 1,hôpital des enfants - groupe hospitalier pellegrin - chu de bordeaux,Nouvelle-Aquitaine
ChIJD3k6uXTYVA0RJgEBU7ftZ3c,positif,personnel agréable et à l'écoute,prise en charge d'urgence 2,professionnalisme,hôpital des enfants - groupe hospitalier pellegrin - chu de bordeaux,Nouvelle-Aquitaine
ChIJD7s8umrXVA0Rl-mee54f6oU,negatif,mauvaise expérience,attente,prise en charge d'urgence 1,centre hospitalier vétérinaire aquivet,Nouvelle-Aquitaine
ChIJD7s8umrXVA0Rl-mee54f6oU,positif,personnel agréable et à l'écoute,prise en charge d'urgence 2,professionnalisme,centre hospitalier vétérinaire aquivet,Nouvelle-Aquitaine
ChIJDWvOFN8rEkgRVONBONlAtiY,negatif,mauvaise expérience,prise en charge d'urgence 1,personnel désagréable,ehpad min ran,Bretagne
ChIJDWvOFN8rEkgRVONBONlAtiY,positif,professionnalisme,prise en charge d'urgence 1,prise en charge d'urgence 2,ehpad min ran,Bretagne
ChIJE04uiSQU2hIR4oT5H4P46os,positif,personnel agréable et à l'écoute,professionnalisme,maternité,centre valicelli,Corse
ChIJE5_1H2F2VQ0RnxmpQBhNGX0,negatif,prise en charge d'urgence 2,locaux et accès,professionnalisme,centre hospitalier de bazas,Nouvelle-Aquitaine
ChIJE5_1H2F2VQ0RnxmpQBhNGX0,positif,attente,examen et consultation,mauvaise expérience,centre hospitalier de bazas,Nouvelle-Aquitaine
ChIJE9fByD8arxIR9ZYLUl5I54U,negatif,attente,examen et consultation,mauvaise expérience,centre hospitalier intercommunal des vallées de l'ariège,Occitanie
ChIJE9fByD8arxIR9ZYLUl5I54U,positif,personnel agréable et à l'écoute,prise en charge d'urgence 2,professionnalisme,centre hospitalier intercommunal des vallées de l'ariège,Occitanie
ChIJEYK1uDXID0gROSsRfghpcS8,negatif,mauvaise expérience,prise en charge d'urgence 2,personnel désagréable,cmps centre médico-psychologique de secteur pour adultes,Bretagne
ChIJEaElR7OArhIR8z5JeGUlRiM,negatif,attente,examen et consultation,mauvaise expérience,centre hospitalier de lavaur,Occitanie
ChIJEaElR7OArhIR8z5JeGUlRiM,positif,personnel agréable et à l'écoute,maternité,prise en charge d'urgence 2,centre hospitalier de lavaur,Occitanie
ChIJEbocUAUpCUgRmzTWJnSyiZg,negatif,examen et consultation,mauvaise expérience,attente,centre hospitalier simone veil de vitré,Bretagne
ChIJEbocUAUpCUgRmzTWJnSyiZg,positif,personnel agréable et à l'écoute,prise en charge d'urgence 2,maternité,centre hospitalier simone veil de vitré,Bretagne
ChIJF2W6boMs_0cR6QeEPqKGi0s,negatif,mauvaise expérience,attente,professionnalisme,centre hospitalier saint yrieix,Nouvelle-Aquitaine
ChIJF2W6boMs_0cR6QeEPqKGi0s,positif,personnel agréable et à l'écoute,prise en charge d'urgence 2,personnel désagréable,centre hospitalier saint yrieix,Nouvelle-Aquitaine
ChIJFX9dr_4vikcRJJszpnb91DE,negatif,examen et consultation,attente,mauvaise expérience,centre hospitalier,Auvergne-Rhône-Alpes
ChIJFX9dr_4vikcRJJszpnb91DE,positif,prise en charge d'urgence 2,personnel agréable et à l'écoute,professionnalisme,centre hospitalier,Auvergne-Rhône-Alpes
ChIJFXI5UsBStRIRdu_CPZRVg_g,negatif,mauvaise expérience,personnel désagréable,prise en charge d'urgence 2,centre hospitalier drôme vivarais,Auvergne-Rhône-Alpes
ChIJFXI5UsBStRIRdu_CPZRVg_g,positif,prise en charge d'urgence 1,prise en charge d'urgence 2,personnel désagréable,centre hospitalier drôme vivarais,Auvergne-Rhône-Alpes
ChIJF_9xT2lu5kcRrjESyBR_Olw,negatif,attente,mauvaise expérience,examen et consultation,hôpital lariboisière ap-hp,Île-de-France
ChIJF_9xT2lu5kcRrjESyBR_Olw,positif,personnel agréable et à l'écoute,prise en charge d'urgence 2,professionnalisme,hôpital lariboisière ap-hp,Île-de-France
ChIJGUGDha1_-UcR92z2RDxPWTw,negatif,attente,prise en charge d'urgence 1,mauvaise expérience,centre hospitalier de guéret,Nouvelle-Aquitaine
ChIJGUGDha1_-UcR92z2RDxPWTw,positif,personnel agréable et à l'écoute,professionnalisme,prise en charge d'urgence 2,centre hospitalier de guéret,Nouvelle-Aquitaine
ChIJGaVcOWV190cRn5Ty1vbhUDU,negatif,attente,personnel désagréable,maternité,centre hospitalier du mont-dore,Auvergne-Rhône-Alpes
ChIJGaVcOWV190cRn5Ty1vbhUDU,positif,personnel agréable et à l'écoute,attente,professionnalisme,centre hospitalier du mont-dore,Auvergne-Rhône-Alpes
ChIJH4YT1cQUVQ0RlUarTybV26s,negatif,personnel désagréable,mauvaise expérience,attente,centre hospitalier spécialisé de cadillac,Nouvelle-Aquitaine
ChIJH4YT1cQUVQ0RlUarTybV26s,positif,examen et consultation,personnel agréable et à l'écoute,maternité,centre hospitalier spécialisé de cadillac,Nouvelle-Aquitaine
ChIJH4roT1NKshIRpeGUSNLQ1z0,negatif,attente,prise en charge d'urgence 1,examen et consultation,centre hospitalier,Occitanie
ChIJH4roT1NKshIRpeGUSNLQ1z0,positif,personnel agréable et à l'écoute,prise en charge d'urgence 2,professionnalisme,centre hospitalier,Occitanie
ChIJHRB-MCiI90cRl8l86a2P7OE,negatif,prise en charge d'urgence 2,mauvaise expérience,prise en charge d'urgence 1,centre hospitalier de bort-les-orgues,Nouvelle-Aquitaine
ChIJHRB-MCiI90cRl8l86a2P7OE,positif,professionnalisme,personnel désagréable,prise en charge d'urgence 1,centre hospitalier de bort-les-orgues,Nouvelle-Aquitaine
ChIJHdcVzKIUVQ0RaSFdcip7HHo,negatif,locaux et accès,professionnalisme,attente,🅿️ centre hospitalier de cadillac,Nouvelle-Aquitaine
ChIJHdcVzKIUVQ0RaSFdcip7HHo,positif,personnel agréable et à l'écoute,maternité,prise en charge d'urgence 2,🅿️ centre hospitalier de cadillac,Nouvelle-Aquitaine
ChIJI9zsev7rtRIRfxgdiUZ3k4E,negatif,examen et consultation,attente,mauvaise expérience,centre hospitalier d'avignon,Provence-Alpes-Côte d'Azur
ChIJI9zsev7rtRIRfxgdiUZ3k4E,positif,personnel agréable et à l'écoute,prise en charge d'urgence 2,professionnalisme,centre hospitalier d'avignon,Provence-Alpes-Côte d'Azur
ChIJITAb25_KtRIRzuMCBY5ojcU,positif,professionnalisme,maternité,personnel agréable et à l'écoute,centre hospitalier uzès: service gériatrie,Occitanie
ChIJIYWCVHNyVQ0RME1LRtHuYwU,negatif,attente,examen et consultation,personnel désagréable,centre hospitalier sud gironde site de langon,Nouvelle-Aquitaine
ChIJIYWCVHNyVQ0RME1LRtHuYwU,positif,prise en charge d'urgence 2,personnel agréable et à l'écoute,maternité,centre hospitalier sud gironde site de langon,Nouvelle-Aquitaine
ChIJIaW_4ba3yhIR8-o4Mn1GJrU,negatif,attente,examen et consultation,professionnalisme,hôpital de die,Auvergne-Rhône-Alpes
ChIJIaW_4ba3yhIR8-o4Mn1GJrU,positif,personnel agréable et à l'écoute,attente,prise en charge d'urgence 2,hôpital de die,Auvergne-Rhône-Alpes
ChIJIcC5KfS4ikcRXtk9sKJrepE,negatif,attente,examen et consultation,prise en charge d'urgence 2,centre hospitalier st-marcellin,Auvergne-Rhône-Alpes
ChIJIcC5KfS4ikcRXtk9sKJrepE,positif,prise en charge d'urgence 2,personnel agréable et à l'écoute,locaux et accès,centre hospitalier st-marcellin,Auvergne-Rhône-Alpes
ChIJJ0NCs9Dm5UcR-RNTxf9ieok,negatif,attente,examen et consultation,mauvaise expérience,centre hospitalier sud francilien,Île-de-France
ChIJJ0NCs9Dm5UcR-RNTxf9ieok,positif,personnel agréable et à l'écoute,prise en charge d'urgence 2,maternité,centre hospitalier sud francilien,Île-de-France
ChIJJQEtWHzSEUgRQUZ21P7Ugww,negatif,attente,examen et consultation,prise en charge d'urgence 1,centre hospitalier du centre-bretagne,Bretagne
ChIJJQEtWHzSEUgRQUZ21P7Ugww,positif,professionnalisme,personnel désagréable,examen et consultation,centre hospitalier du centre-bretagne,Bretagne
ChIJJWZgDrTk2RIRY3QuAflSdtY,negatif,examen et consultation,prise en charge d'urgence 2,professionnalisme,centre hospitalier intercommunal corte-tattone,Corse
ChIJJWZgDrTk2RIRY3QuAflSdtY,positif,personnel agréable et à l'écoute,prise en charge d'urgence 2,professionnalisme,centre hospitalier intercommunal corte-tattone,Corse
ChIJJ_i9OMpbEEgRELOgL0Q-5jk,negatif,mauvaise expérience,maternité,locaux et accès,epsm sud bretagne ch charcot,Bretagne
ChIJJ_i9OMpbEEgRELOgL0Q-5jk,positif,mauvaise expérience,personnel désagréable,maternité,epsm sud bretagne ch charcot,Bretagne
ChIJJ_z9_9xgqRIRw1BakmVi1Ts,positif,personnel agréable et à l'écoute,locaux et accès,examen et consultation,centre hospitalier de mauvezin,Occitanie
ChIJJz62MqgT9UcRSOTt8gey-TA,negatif,examen et consultation,attente,mauvaise expérience,centre hospitalier d' ardèche nord,Auvergne-Rhône-Alpes
ChIJJz62MqgT9UcRSOTt8gey-TA,positif,personnel agréable et à l'écoute,locaux et accès,professionnalisme,centre hospitalier d' ardèche nord,Auvergne-Rhône-Alpes
ChIJKR0a5UQdDkgRrvO8c0QsPDc,negatif,prise en charge d'urgence 1,attente,personnel agréable et à l'écoute,centre gériatrique des capucins,Bretagne
ChIJKR0a5UQdDkgRrvO8c0QsPDc,positif,personnel agréable et à l'écoute,professionnalisme,maternité,centre gériatrique des capucins,Bretagne
ChIJKcf_dZBgEEgRQdTNiSQJmlo,positif,personnel agréable et à l'écoute,prise en charge d'urgence 2,locaux et accès,hôpital de kerdurand - riantec - groupe hospitalier bretagne sud,Bretagne
ChIJKf4u99y-_UcRF6fD_emkvgY,negatif,attente,mauvaise expérience,examen et consultation,chu de poitiers site de la milétrie,Nouvelle-Aquitaine
ChIJKf4u99y-_UcRF6fD_emkvgY,positif,personnel agréable et à l'écoute,prise en charge d'urgence 2,professionnalisme,chu de poitiers site de la milétrie,Nouvelle-Aquitaine
ChIJL0oRW0fZVA0ROrMOFTAFpvI,negatif,mauvaise expérience,attente,prise en charge d'urgence 1,maison du haut-lévêque - haut-lévêque - groupe hospitalier sud - chu de bordeaux,Nouvelle-Aquitaine
ChIJL0oRW0fZVA0ROrMOFTAFpvI,positif,personnel agréable et à l'écoute,professionnalisme,prise en charge d'urgence 2,maison du haut-lévêque - haut-lévêque - groupe hospitalier sud - chu de bordeaux,Nouvelle-Aquitaine
ChIJL51pdsRnEUgRgUqdJzKcmiY,positif,personnel agréable et à l'écoute,locaux et accès,attente,radiologie centre hospitalier des pays de morlaix,Bretagne
ChIJL8Drl3XYVA0R2xmwumsDbkE,negatif,maternité,attente,personnel désagréable,centre aliénor d'aquitaine,Nouvelle-Aquitaine
ChIJL8Drl3XYVA0R2xmwumsDbkE,positif,maternité,personnel agréable et à l'écoute,prise en charge d'urgence 2,centre aliénor d'aquitaine,Nouvelle-Aquitaine
ChIJLRIsYBpzjEcR09sIQXN5SuI,negatif,attente,examen et consultation,mauvaise expérience,centre hospitalier alpes-leman hôpital findrol,Auvergne-Rhône-Alpes
ChIJLRIsYBpzjEcR09sIQXN5SuI,positif,personnel agréable et à l'écoute,prise en charge d'urgence 2,professionnalisme,centre hospitalier alpes-leman hôpital findrol,Auvergne-Rhône-Alpes
ChIJM-iye6pBqhIRHP4bP8YwTUs,negatif,prise en charge d'urgence 1,professionnalisme,attente,centre hospitalier agen-nérac (site de nérac),Nouvelle-Aquitaine
ChIJM-iye6pBqhIRHP4bP8YwTUs,positif,personnel agréable et à l'écoute,professionnalisme,attente,centre hospitalier agen-nérac (site de nérac),Nouvelle-Aquitaine
ChIJM4vzmdlp2hIRlaB3h6YjuNk,negatif,mauvaise expérience,personnel désagréable,attente,clinisud,Corse
ChIJM4vzmdlp2hIRlaB3h6YjuNk,positif,personnel agréable et à l'écoute,prise en charge d'urgence 2,professionnalisme,clinisud,Corse
ChIJM7E_Qa7M_kcRATl3ASwnk8c,negatif,attente,mauvaise expérience,personnel désagréable,centre hospitalier universitaire dupuytren 1,Nouvelle-Aquitaine
ChIJM7E_Qa7M_kcRATl3ASwnk8c,positif,personnel agréable et à l'écoute,prise en charge d'urgence 2,professionnalisme,centre hospitalier universitaire dupuytren 1,Nouvelle-Aquitaine
ChIJMW8CT1E61xIRsIxKopV50XU,negatif,mauvaise expérience,personnel désagréable,attente,centre hospitalier de castelluccio,Corse
ChIJMXkI26tGBkgROLHhC-f-ct8,negatif,attente,examen et consultation,mauvaise expérience,centre hospitalier de cholet,Pays de la Loire
ChIJMXkI26tGBkgROLHhC-f-ct8,positif,personnel agréable et à l'écoute,prise en charge d'urgence 2,professionnalisme,centre hospitalier de cholet,Pays de la Loire
ChIJMcQGwaer70cRDvRWTIOeCqA,negatif,attente,mauvaise expérience,personnel désagréable,centre hospitalier de joigny,Bourgogne-Franche-Comté
ChIJMcQGwaer70cRDvRWTIOeCqA,positif,personnel agréable et à l'écoute,prise en charge d'urgence 2,professionnalisme,centre hospitalier de joigny,Bourgogne-Franche-Comté
ChIJMdpjN3yBBUgRvWjA5aLdmoE,negatif,professionnalisme,prise en charge d'urgence 1,examen et consultation,hopital local estuaire et sillon,Pays de la Loire
ChIJMdpjN3yBBUgRvWjA5aLdmoE,positif,prise en charge d'urgence 1,maternité,personnel agréable et à l'écoute,hopital local estuaire et sillon,Pays de la Loire
ChIJMfz7-EzVEEgR76fpFGEoyLA,positif,personnel agréable et à l'écoute,maternité,prise en charge d'urgence 2,cpef (centre de planification et d'éducation familiale) de quimper,Bretagne
ChIJN1XXxSguqBIRs6LhVBWWv0Y,negatif,attente,personnel désagréable,mauvaise expérience,centre hospitalier de bagnères de bigorre,Occitanie
ChIJN1XXxSguqBIRs6LhVBWWv0Y,positif,personnel agréable et à l'écoute,professionnalisme,prise en charge d'urgence 2,centre hospitalier de bagnères de bigorre,Occitanie
ChIJN7s15PSqrhIR-byQ4x4pRpI,negatif,mauvaise expérience,examen et consultation,attente,"la clinique du cheval, centre hospitalier vetérinaire equin",Occitanie
ChIJN7s15PSqrhIR-byQ4x4pRpI,positif,personnel agréable et à l'écoute,prise en charge d'urgence 2,professionnalisme,"la clinique du cheval, centre hospitalier vetérinaire equin",Occitanie
ChIJN8Jpyytq2hIRx0hzcVfYkNc,negatif,examen et consultation,attente,prise en charge d'urgence 1,centre hospitalier ajaccio (centre de vaccination les salines),Corse
ChIJN8Jpyytq2hIRx0hzcVfYkNc,positif,personnel agréable et à l'écoute,mauvaise expérience,professionnalisme,centre hospitalier ajaccio (centre de vaccination les salines),Corse
ChIJNQ3X0CXeDkgRw47sW0h2DWA,negatif,mauvaise expérience,attente,examen et consultation,service de dermatologie du chu de rennes,Bretagne
ChIJNQ3X0CXeDkgRw47sW0h2DWA,positif,personnel agréable et à l'écoute,professionnalisme,mauvaise expérience,service de dermatologie du chu de rennes,Bretagne
ChIJNSqAdq0jyRIRW7GvriI6co4,negatif,attente,examen et consultation,mauvaise expérience,centre hospitalier de hyères,Provence-Alpes-Côte d'Azur
ChIJNSqAdq0jyRIRW7GvriI6co4,positif,personnel agréable et à l'écoute,prise en charge d'urgence 2,professionnalisme,centre hospitalier de hyères,Provence-Alpes-Côte d'Azur
ChIJNXtpJxilBUgRkjKiASMv1RI,negatif,prise en charge d'urgence 2,mauvaise expérience,prise en charge d'urgence 1,centre hospitalier loire vendée océan,Pays de la Loire
ChIJNXtpJxilBUgRkjKiASMv1RI,positif,personnel agréable et à l'écoute,prise en charge d'urgence 2,maternité,centre hospitalier loire vendée océan,Pays de la Loire
ChIJNw83E2LT90cRMNQG3oFQ9Do,negatif,examen et consultation,attente,personnel agréable et à l'écoute,centre hospitalier de saint-flour,Auvergne-Rhône-Alpes
ChIJNw83E2LT90cRMNQG3oFQ9Do,positif,personnel agréable et à l'écoute,prise en charge d'urgence 2,professionnalisme,centre hospitalier de saint-flour,Auvergne-Rhône-Alpes
ChIJO8Q1R6SNyRIRrvetviplFgQ,negatif,attente,mauvaise expérience,examen et consultation,centre hospitalier du pays d'aix,Provence-Alpes-Côte d'Azur
ChIJO8Q1R6SNyRIRrvetviplFgQ,positif,personnel agréable et à l'écoute,prise en charge d'urgence 2,professionnalisme,centre hospitalier du pays d'aix,Provence-Alpes-Côte d'Azur
ChIJOQAW8kuBDkgRbL1vkaEVtyA,negatif,professionnalisme,locaux et accès,mauvaise expérience,centre donald winnicott,Bretagne
ChIJOS9FhafAyRIRM8mAJ_G8_AM,negatif,mauvaise expérience,attente,personnel désagréable,hôpitaux universitaires de marseille timone,Provence-Alpes-Côte d'Azur
ChIJOS9FhafAyRIRM8mAJ_G8_AM,positif,personnel agréable et à l'écoute,professionnalisme,prise en charge d'urgence 2,hôpitaux universitaires de marseille timone,Provence-Alpes-Côte d'Azur
ChIJOaSVQ8Fq5kcR2MJyyb6P8Tc,negatif,attente,mauvaise expérience,examen et consultation,centre hospitalier de gonesse,Île-de-France
ChIJOaSVQ8Fq5kcR2MJyyb6P8Tc,positif,personnel agréable et à l'écoute,prise en charge d'urgence 2,professionnalisme,centre hospitalier de gonesse,Île-de-France
ChIJOd76eyUvVQ0RyRy1vU09RVI,negatif,prise en charge d'urgence 1,professionnalisme,attente,ehpad lormont - groupe hospitalier sud - chu de bordeaux,Nouvelle-Aquitaine
ChIJOd76eyUvVQ0RyRy1vU09RVI,positif,personnel agréable et à l'écoute,locaux et accès,personnel désagréable,ehpad lormont - groupe hospitalier sud - chu de bordeaux,Nouvelle-Aquitaine
ChIJOeiusWvV_EcRguLbOmK-bq8,negatif,attente,locaux et accès,prise en charge d'urgence 2,chru tours - site bretonneau,Centre-Val de Loire
ChIJOeiusWvV_EcRguLbOmK-bq8,positif,personnel agréable et à l'écoute,professionnalisme,prise en charge d'urgence 2,chru tours - site bretonneau,Centre-Val de Loire
ChIJOysOOLOX-kcRnDP1DYn61EA,negatif,attente,examen et consultation,mauvaise expérience,centre hospitalier jacques coeur,Centre-Val de Loire
ChIJOysOOLOX-kcRnDP1DYn61EA,positif,personnel agréable et à l'écoute,prise en charge d'urgence 2,professionnalisme,centre hospitalier jacques coeur,Centre-Val de Loire
ChIJQ16WnxaKDkgRAxAspUPAvKk,negatif,professionnalisme,personnel agréable et à l'écoute,maternité,fondation saint jean de dieu - centre hospitalier dinan saint-brieuc,Bretagne
ChIJQ16WnxaKDkgRAxAspUPAvKk,positif,personnel agréable et à l'écoute,locaux et accès,professionnalisme,fondation saint jean de dieu - centre hospitalier dinan saint-brieuc,Bretagne
ChIJQ1Boj7-8jUcRW0oBipuT1KY,negatif,attente,examen et consultation,mauvaise expérience,centre hospitalier intercommunal de haute-comté,Bourgogne-Franche-Comté
ChIJQ1Boj7-8jUcRW0oBipuT1KY,positif,personnel agréable et à l'écoute,prise en charge d'urgence 2,maternité,centre hospitalier intercommunal de haute-comté,Bourgogne-Franche-Comté
ChIJQ1ZrDlNJVQ0RDPeiVTAqR4I,negatif,attente,prise en charge d'urgence 2,examen et consultation,hôpital robert boulin urgences,Nouvelle-Aquitaine
ChIJQ1ZrDlNJVQ0RDPeiVTAqR4I,positif,personnel agréable et à l'écoute,prise en charge d'urgence 2,attente,hôpital robert boulin urgences,Nouvelle-Aquitaine
ChIJQ7csHfT9CEgROZWaI_W2hi8,negatif,mauvaise expérience,personnel désagréable,attente,centre hospitalier de laval,Pays de la Loire
ChIJQ7csHfT9CEgROZWaI_W2hi8,positif,personnel agréable et à l'écoute,prise en charge d'urgence 2,professionnalisme,centre hospitalier de laval,Pays de la Loire
ChIJQS_VOZhRUQ0Re10xJZfY7PU,negatif,prise en charge d'urgence 1,prise en charge d'urgence 2,mauvaise expérience,centre hospitalier de dax - antenne de saint vincent de tyrosse,Nouvelle-Aquitaine
ChIJQUHslJJbBUgRHTzBbQQ7myU,negatif,attente,professionnalisme,examen et consultation,hôpital intercommunal de la presqu'île - site de guérande,Pays de la Loire
ChIJQUHslJJbBUgRHTzBbQQ7myU,positif,professionnalisme,locaux et accès,prise en charge d'urgence 1,hôpital intercommunal de la presqu'île - site de guérande,Pays de la Loire
ChIJQWw0l4h2thIR4vUHKNjww8s,negatif,attente,mauvaise expérience,examen et consultation,centre hospitalier d'arles hôpital joseph imbert,Provence-Alpes-Côte d'Azur
ChIJQWw0l4h2thIR4vUHKNjww8s,positif,personnel agréable et à l'écoute,prise en charge d'urgence 2,professionnalisme,centre hospitalier d'arles hôpital joseph imbert,Provence-Alpes-Côte d'Azur
ChIJQ_4jgIXQ5UcRhf8mm5LZSBs,negatif,attente,examen et consultation,mauvaise expérience,centre hospitalier d'arpajon,Île-de-France
ChIJQ_4jgIXQ5UcRhf8mm5LZSBs,positif,personnel agréable et à l'écoute,maternité,prise en charge d'urgence 2,centre hospitalier d'arpajon,Île-de-France
ChIJQa4t0uq_qxIR8F2x_oNbQyw,negatif,personnel désagréable,mauvaise expérience,prise en charge d'urgence 1,centre hospitalier des deux rives,Occitanie
ChIJQa4t0uq_qxIR8F2x_oNbQyw,positif,personnel agréable et à l'écoute,locaux et accès,examen et consultation,centre hospitalier des deux rives,Occitanie
ChIJQaThpYMs_0cRG6MiWlSxymQ,negatif,examen et consultation,attente,mauvaise expérience,centre hospitalier jacques boutard,Nouvelle-Aquitaine
